analysis,exposure,mediator,mediator_col,outcome,outcome_col,scope,status,n,people,cohorts,exposure_prevalence_pct,outcome_prevalence_pct,a_coef,a_se,a_p,b_coef,b_se,b_or,b_p,total_coef,total_se,total_or,total_ci_low,total_ci_high,total_p,direct_coef,direct_se,direct_or,direct_ci_low,direct_ci_high,direct_p,indirect_coef,indirect_se,indirect_ci_low,indirect_ci_high,indirect_or,proportion_mediated_pct
social_to_cognition,social_participation,cognition_z,m_cognition_z,healthy_excl_cognition,y_healthy_excl_cognition,pooled,ok,195538,91707,"CHARLS,ELSA,MHAS,SHARE",45.03677034642883,55.912917182337964,0.224773835725443,0.004749862267861338,0.0,0.27932791724461503,0.006975821984493891,1.3222408583662077,0.0,0.41251013428799554,0.012204368686831855,1.5106048511347092,1.474899086710471,1.5471750147741932,1.9587247202492416e-250,0.35341737073957635,0.012269066382902639,1.423925324193805,1.3900920953970035,1.4585820145257142,1.8270109747428678e-182,0.06278560738427123,0.0020539923853106485,0.05875978230906236,0.06681143245948011,1.0647985298162221,15.220379371440416
social_to_not_depressive,social_participation,not_depressive,m_not_depressive,healthy_excl_depression,y_healthy_excl_depression,pooled,ok,196149,99305,"CHARLS,ELSA,KLoSA,MHAS,SHARE",43.3558162417346,57.52055835104946,0.05619857965391842,0.002129956826882521,2.0452035411341437e-153,1.0850217443320493,0.014025456145792821,2.9595041704812304,0.0,0.45816495881372277,0.012444090077027388,1.581169809445733,1.5430709316148132,1.6202093598421428,9.557099883344489e-297,0.41282716642003403,0.012591269825516609,1.5110838373343283,1.4742483660358867,1.5488396772606334,9.087835823388764e-236,0.06097668092507818,0.0024417669402962616,0.056190817722097504,0.06576254412805885,1.06287412865677,13.308892300048116
social_to_no_adl_limitation,social_participation,no_adl_limitation,m_no_adl_limitation,healthy_excl_function,y_healthy_excl_function,pooled,ok,223156,100732,"CHARLS,ELSA,KLoSA,MHAS,SHARE",43.25673519869508,50.85321479144634,0.03699489291234087,0.0015696311219438696,7.986113322450699e-123,1.5644762348931718,0.021652038142265278,4.780170593547365,0.0,0.4538045465058212,0.01164772483936678,1.574290266868976,1.538757089505571,1.610643980951367,0.0,0.4211243962908366,0.011687500385296739,1.5236738059901556,1.4891669885535292,1.5589802116924074,2.6366443143596633e-284,0.057877630773775134,0.0025829913997621706,0.05281496763024128,0.06294029391730899,1.0595853271401268,12.753867544831376
