analysis,exposure,mediator,mediator_col,outcome,outcome_col,scope,status,n,people,cohorts,exposure_prevalence_pct,outcome_prevalence_pct,a_coef,a_se,a_p,b_coef,b_se,b_or,b_p,total_coef,total_se,total_or,total_ci_low,total_ci_high,total_p,direct_coef,direct_se,direct_or,direct_ci_low,direct_ci_high,direct_p,indirect_coef,indirect_se,indirect_ci_low,indirect_ci_high,indirect_or,proportion_mediated_pct
social_to_cognition,social_participation,cognition_z,m_cognition_z,healthy_excl_cognition,y_healthy_excl_cognition,CHARLS,ok,22894,13703,CHARLS,50.94784659736176,40.827290993273344,0.1512714787209094,0.011860064755158602,2.935308344470457e-37,0.15412689424415288,0.01768800576448331,1.166638917149731,2.9427284877721858e-18,0.09606028707308223,0.029573408613144853,1.1008254275365277,1.0388313778276819,1.1665190788181903,0.0011613841751909866,0.07295040388641198,0.029673648391675623,1.07567718618381,1.0148999670828276,1.1400940451325166,0.01395483814425693,0.023315003202974225,0.003240484605186356,0.016963653376808968,0.029666353029139482,1.0235889225578458,24.27121957821787
social_to_cognition,social_participation,cognition_z,m_cognition_z,healthy_excl_cognition,y_healthy_excl_cognition,ELSA,ok,39646,11322,ELSA,38.10220450991273,70.38036624123492,0.1274438570963292,0.011708954268502887,1.3693563470231946e-27,0.2715699574462983,0.01893159063744369,1.3120226544003994,1.148241839244818e-46,0.28466797802080573,0.034810691271638994,1.329320591188477,1.2416473712731095,1.423184452398761,2.8954834043285473e-16,0.2514092800579687,0.03496070088086024,1.285836243782959,1.2006778908462872,1.3770344723017278,6.422583038216382e-13,0.03460992284844224,0.003991531376949629,0.026786521349620968,0.04243332434726352,1.0352158159933167,12.157996515474839
social_to_cognition,social_participation,cognition_z,m_cognition_z,healthy_excl_cognition,y_healthy_excl_cognition,MHAS,ok,9602,9602,MHAS,44.834409498021245,48.39616746511143,0.13942858089563454,0.018261612133260982,2.2570793857774186e-14,0.16679962010120739,0.02504938160141733,1.1815174892316567,2.760124863571022e-11,0.05243514237726335,0.044556870663107484,1.0538342106803433,0.9657055314361608,1.150005366489586,0.23926981453224871,0.028749935752386005,0.044846207369394264,1.0291672043718105,0.9425666644101893,1.123724373614754,0.5214717342794597,0.0232566343246423,0.004634280032796697,0.014173445460360775,0.032339823188923825,1.0235291785641751,44.3531442278046
social_to_cognition,social_participation,cognition_z,m_cognition_z,healthy_excl_cognition,y_healthy_excl_cognition,SHARE,ok,123396,57080,SHARE,46.18383091834419,54.64844889623651,0.2689891381998726,0.006004111097093744,0.0,0.3111937583942584,0.008786644460130928,1.365053686174488,9.455409665025913e-275,0.5643388621985719,0.015299606540915486,1.7582849297284118,1.7063415486161628,1.8118095387276336,7.793987394665429e-298,0.4889968364150382,0.015400492926410447,1.6306795608200526,1.5821930172511929,1.68065198182714,2.977316707490262e-221,0.08370774088365093,0.0030128497684685264,0.07780255533745262,0.08961292642984925,1.0873110707950047,14.83288614176583
social_to_not_depressive,social_participation,not_depressive,m_not_depressive,healthy_excl_depression,y_healthy_excl_depression,CHARLS,ok,22179,13670,CHARLS,51.1610081608729,44.68190630776861,0.05148199114061255,0.006512231431904752,2.670098170909594e-15,0.9315941975593683,0.034500551885648184,2.5385529083594323,1.3888482491490497e-160,0.1652950758140685,0.03024228629267583,1.1797411804457756,1.1118443296207312,1.251784279292367,4.61099775934274e-08,0.12304213209313274,0.030763392110361738,1.1309320684789732,1.064756232783263,1.2012208091713306,6.344206095305896e-05,0.047960324225397456,0.0063214139832505675,0.03557035281822635,0.060350295632568565,1.0491290294918043,29.01497457755211
social_to_not_depressive,social_participation,not_depressive,m_not_depressive,healthy_excl_depression,y_healthy_excl_depression,ELSA,ok,39612,11314,ELSA,38.09704130061598,69.71372311420781,0.03402946320312583,0.003958603193896744,8.230521302629768e-18,1.327820772401724,0.045467258165052656,3.772812605099822,1.7307867840478253e-187,0.31770326298924356,0.03543096560220553,1.373968493427041,1.2817913226547413,1.4727743803260724,3.0518484835748324e-19,0.2768095388234536,0.0356100239002856,1.3189151449810355,1.2299996587913655,1.4142582457052606,7.64310620585683e-15,0.04518502811479058,0.005479303118534791,0.034445594002462394,0.05592446222711877,1.0462214223783515,14.222399760596858
social_to_not_depressive,social_participation,not_depressive,m_not_depressive,healthy_excl_depression,y_healthy_excl_depression,KLoSA,ok,19272,7345,KLoSA,31.325238688252387,33.027189705271894,0.0425994734446606,0.007267235088193385,4.577265067315389e-09,0.37098818003088274,0.048439988286791205,1.4491659441887053,1.8779916043443775e-14,0.35801625491765615,0.04313441005168996,1.4304888727697505,1.314521618482291,1.556686772090267,1.0409815994525556e-16,0.3436977949745662,0.04328373656670796,1.4101524159613468,1.2954545938883915,1.5350054302350504,2.012446789204105e-15,0.015803901123508556,0.0033951195818475288,0.009149466743087399,0.022458335503929713,1.015929443248736,4.414297090265764
social_to_not_depressive,social_participation,not_depressive,m_not_depressive,healthy_excl_depression,y_healthy_excl_depression,MHAS,ok,9606,9606,MHAS,44.83656048303144,50.65584009993754,0.007611938933075907,0.009550870533928552,0.4254574090778438,0.9829527716178508,0.049854649746950794,2.6723353996494636,1.5602999496987748e-86,0.05198370649159463,0.04494104999905655,1.0533585794666736,0.9645431094160726,1.1503522093561693,0.2473913669948522,0.04675808389872803,0.04602501045328893,1.0478684821569206,0.9574795301495788,1.1467904235261437,0.3096638078324706,0.007482176471652789,0.009395721549019577,-0.010933437764425583,0.025897790707731162,1.0075102378972156,14.393310859552887
social_to_not_depressive,social_participation,not_depressive,m_not_depressive,healthy_excl_depression,y_healthy_excl_depression,SHARE,ok,105480,57370,SHARE,45.75274933636708,60.7413727720895,0.06846114711247711,0.003024156902913093,1.8277883983896075e-113,1.173062371457096,0.01783742676435786,3.2318747003688335,0.0,0.6630117206969661,0.016749513119707023,1.9406281720652743,1.8779536030737327,2.0053944336267744,0.0,0.6123548851422037,0.016943769300253837,1.8447705103873928,1.7845121941826272,1.9070635925543473,5.261967609268976e-286,0.08030919558443553,0.003751824775310604,0.07295561902482675,0.0876627721440443,1.0836220670404533,12.112786709111795
social_to_no_adl_limitation,social_participation,no_adl_limitation,m_no_adl_limitation,healthy_excl_function,y_healthy_excl_function,CHARLS,ok,22616,14153,CHARLS,51.09214715245843,36.916342412451364,0.02863478436156928,0.005199278663325627,3.640619733877695e-08,1.3192764409616697,0.05225351685713898,3.7407137705638434,1.2031095018876586e-140,0.20447627023380013,0.030501027572996216,1.2268823418691992,1.1556861723535035,1.3024645589771966,2.0290950660709387e-11,0.178913875151547,0.03089907781443389,1.1959177414981539,1.125639909775369,1.2705832762410292,7.0275102240633014e-09,0.037777196400236,0.007020585507462002,0.024016848805610478,0.05153754399486153,1.0384998256007696,18.475100488208824
social_to_no_adl_limitation,social_participation,no_adl_limitation,m_no_adl_limitation,healthy_excl_function,y_healthy_excl_function,ELSA,ok,39814,11371,ELSA,38.07203496257598,71.12071130758025,0.0371602717641818,0.004937319794830191,5.2156122682969524e-14,1.6619819659571982,0.043273013518862244,5.269744956110374,0.0,0.3529682602671659,0.03518343466883607,1.4232859680003067,1.32844452578613,1.5248984111758839,1.1000516172044008e-23,0.30557981019808733,0.03526964649735644,1.3574118160970319,1.2667458674747714,1.4545670807302151,4.550863188724739e-18,0.06175970152213863,0.00836181162461505,0.04537055073789313,0.07814885230638413,1.063706706912013,17.497239404866598
social_to_no_adl_limitation,social_participation,no_adl_limitation,m_no_adl_limitation,healthy_excl_function,y_healthy_excl_function,KLoSA,ok,25957,7825,KLoSA,30.99356628269831,28.038679354316752,0.017164570896050335,0.0027220311642503882,2.8671806272464413e-10,1.6593105575254705,0.21259165500962007,5.255686101833321,5.9429039723831706e-15,0.3040455741534722,0.03989034007217023,1.3553308227371008,1.2534008132106715,1.4655500616405588,2.4970701319780993e-14,0.29700891198976315,0.03987748969252792,1.3458272933937143,1.2446433614238028,1.4552370259473204,9.474117583689723e-14,0.028481353703210747,0.0058065532096846575,0.01710050941222882,0.039862197994192675,1.0288908256519593,9.367462026871767
social_to_no_adl_limitation,social_participation,no_adl_limitation,m_no_adl_limitation,healthy_excl_function,y_healthy_excl_function,MHAS,ok,9590,9590,MHAS,44.81751824817518,46.43378519290928,0.009171041552257996,0.007677193507740261,0.23225016248867192,1.2932334356212467,0.06959151132450862,3.6445519482755064,4.394452059869815e-77,0.08119746868699676,0.0446150128361284,1.0845850470072302,0.9937715214214333,1.183697357828416,0.06876533578091527,0.07442542853718122,0.04547717798635354,1.0772650072994596,0.9853978208456916,1.177696836142723,0.10172566637661111,0.01186029757485182,0.00994889572001822,-0.007639538036383892,0.03136013318608753,1.0119309097886278,14.606733148999224
social_to_no_adl_limitation,social_participation,no_adl_limitation,m_no_adl_limitation,healthy_excl_function,y_healthy_excl_function,SHARE,ok,125179,57793,SHARE,45.91345193682647,51.99434409924988,0.041363007636418515,0.0019570312616537977,3.744902256201294e-99,1.6075101854411806,0.02916825710227704,4.990370649396937,0.0,0.6211586326299459,0.0153121530190976,1.861083104754364,1.806058438983675,1.9177841912752476,0.0,0.5860269299429276,0.015369189130995336,1.7968352624397943,1.743515224504803,1.8517859293509087,0.0,0.0664914560760241,0.003369361563159689,0.0598875074122311,0.07309540473981709,1.0687518327017569,10.70442437457619
