model,exposure,outcome,model_family,include_baseline,include_work,max_interval,n,people,events,coef,se,odds_ratio,ci_low,ci_high,p_value,status
pooled_with_cohort_wave_fixed_effects,social_participation,next_healthy_aging_binary,logit,True,False,6,316577,140941,167236,0.24955746849543045,0.009694292748509132,1.2834573206976467,1.2593008105848338,1.3080772125346083,3.8889845191782254e-146,ok
CHARLS_specific,social_participation,next_healthy_aging_binary,logit,True,False,6,60334,21038,24997,0.09608588626247777,0.019782426800377787,1.1008536081358373,1.058986511724121,1.144375922760951,1.1909735132133958e-06,ok
ELSA_specific,social_participation,next_healthy_aging_binary,logit,True,False,6,27996,9840,19327,0.01819056735657367,0.04371917724675314,1.0183570235057013,0.934728636605652,1.1094674825512034,0.6773532704828618,ok
HRS_specific,social_participation,next_healthy_aging_binary,logit,True,False,6,36950,19136,18634,0.08832848082839696,0.029624897338251403,1.0923468781101426,1.0307262821387304,1.1576513792207477,0.0028678157028208143,ok
KLoSA_specific,social_participation,next_healthy_aging_binary,logit,True,False,6,33197,8374,13599,0.4006545162831519,0.030774390711076256,1.4928014408097698,1.4054207308056246,1.5856149641440924,9.530171320233576e-39,ok
MHAS_specific,social_participation,next_healthy_aging_binary,logit,True,False,6,23097,13499,15027,0.13285726506837367,0.033438372707257434,1.1420869709906072,1.069635626569726,1.2194457784559152,7.091414645591304e-05,ok
SHARE_specific,social_participation,next_healthy_aging_binary,logit,True,False,6,135003,69054,75652,0.40580280429316906,0.015696285014861883,1.5005066298161704,1.4550468299876582,1.547386723038584,2.2263528110701543e-147,ok
