contrast_vs_neither,n,people,coef,se,odds_ratio,ci_low,ci_high,p_value,covariance,status
internet_only,194463,106079,0.40930745355707604,0.020555622648363452,1.505774605082643,1.4463142635803448,1.5676794583349793,3.1906125723095327e-88,clustered_by_person,ok
social_only,194463,106079,0.1449230489506644,0.01763406559431356,1.1559506152326515,1.1166803160090073,1.1966019331587892,2.0630980023238563e-16,clustered_by_person,ok
both,194463,106079,0.6162037467321638,0.018797683769989196,1.8518844582654748,1.7848962433064675,1.9213867806748297,1.1045102927638299e-235,clustered_by_person,ok
