cohort,target_variable,source_code,source_column
MHAS,work,work,work (是否正在工作)
MHAS,retired,,
SHARE,id,mergeid,mergeid (个人唯一标识符)
SHARE,wave,wave,wave (第几次调查)
SHARE,year,iwy,iwy (受访年份)
SHARE,age,agey,agey (年龄)
SHARE,sex,ragender,ragender (性别)
SHARE,education,raeducl,raeducl (统一的教育程度)
SHARE,marital,mstath,mstath (婚姻状况)
SHARE,rural,rural,rural (家庭居住在城市还是农村地区)
SHARE,self_rated_health,shlt,shlt (自评健康)
SHARE,adl_score,,
SHARE,iadl_score,,
SHARE,depression_score,,
SHARE,depression_binary,,
SHARE,cognition,tr20,tr20 (认知/总单词记忆20分)
SHARE,frailty,frailtyb,frailtyb (虚弱)
SHARE,internet,internet,internet (过去一周是否使用网络)
SHARE,social,act3,act3 (过去12个月中参加体育/社交/其他类型俱乐部)
SHARE,work,work,work (过去四周是否做有偿工作)
SHARE,retired,,
