model,exposure,outcome,n,coef_log_odds,se,odds_ratio,ci_low,ci_high,p_value,status
pooled_with_cohort_fixed_effects,social_participation,healthy_aging_binary,529432,0.40902318259470893,0.0085066654517561,1.5053466179215913,1.4804559554096888,1.530655763048946,0.0,ok
CHARLS_specific,social_participation,healthy_aging_binary,85430,0.2079885774190243,0.017111277731274143,1.2311991059970613,1.190591774564214,1.2731914254680636,5.39233476002763e-34,ok
ELSA_specific,social_participation,healthy_aging_binary,38874,0.19405636100141457,0.04138825944575704,1.2141647125669168,1.119559576260244,1.316764181649967,2.749711439249884e-06,ok
HRS_specific,social_participation,healthy_aging_binary,45753,0.32179505513489604,0.021266053843388654,1.379602004635234,1.3232801146622508,1.4383210856904227,9.982578061363766e-52,ok
KLoSA_specific,social_participation,healthy_aging_binary,42533,0.5643548288232672,0.027791512392548064,1.7583130038281158,1.6650971407675625,1.8567472994433718,1.1211796530956154e-91,ok
LASI_specific,social_participation,healthy_aging_binary,71610,0.1691652673547624,0.05780128427482761,1.1843158514990546,1.0574652281081618,1.3263831271513609,0.003426125324743063,ok
SHARE_specific,social_participation,healthy_aging_binary,245232,0.5361321696151533,0.012700140902286513,1.7093824579970776,1.6673572591703598,1.7524668883272487,0.0,ok
