cohort,person_waves,unique_people,mean_age,female_pct,rural_pct,married_pct,internet_use_pct,social_participation_pct,work_pct,fair_or_poor_srh_pct,adl_limitation_pct,iadl_limitation_pct,multimorbidity_pct,depressive_symptoms_pct,healthy_aging_pct,mean_frailty_index
CHARLS,96628,25873,60.68022960110441,52.53723310667453,59.59452746615887,86.91633783062414,8.008623862859547,47.43737747767371,64.69707829166491,75.50377000749592,19.06176336902635,22.50867883614983,35.191354072852356,35.03162212979317,42.61366885902202,18.23900422726945
ELSA,90069,19802,66.15765865790291,55.701739777281865,,66.94245163583058,72.34587670136109,16.946101625180006,35.50149950016661,32.729500078194235,18.590828138913622,20.835532251749203,38.93904565190836,20.38052602126469,68.13712404342411,17.55860586159288
HRS,208674,36529,67.23518502544638,58.75288727872183,27.82719123998142,59.281643764708136,47.86405217315184,52.20143269539186,37.72525338000269,29.746231360643076,19.13407485994364,16.75750874679457,60.60410017539319,22.604875137621285,55.586774733050305,22.024038394755674
KLoSA,44273,9238,67.74049646511418,57.31258329004133,24.617712827231045,75.9441633538128,,59.603718312458184,40.058274795021795,57.366792401689516,4.655207462787703,10.844081042621914,32.1053463736363,23.71412727020657,42.394255994845125,
LASI,73408,73408,57.921875,57.57546861377506,64.59377724498692,77.29687755435671,6.576073433050403,2.820055571683324,42.750848312233416,36.41947193352932,13.702097385451012,31.858915598363684,14.388734856658973,25.021324197720755,70.93137322630118,
MHAS,76506,26839,64.75299457823729,57.82291584973728,29.58345275628165,69.443385185867,,,40.36139835179255,6.41759608724538,14.26811655764166,9.663936981099997,34.3368346326265,32.46984881943265,71.61533128652074,
SHARE,327266,136843,66.64111621766978,56.41038176895859,31.688402676453762,70.1070966586707,51.69789547509737,27.075016550975022,32.49305181581277,38.276597962800565,11.755091777721901,9.949588180820204,41.749369011737606,,40.34905484106952,17.72385018522109
