analysis,cohort,outcome,exposure,n,people,term,term_raw,events,coef,se,odds_ratio,ci_low,ci_high,p_value,covariance,weighted,status
exposure_history,HRS,next_healthy_aging_binary,social_participation,157,146,persistent,"C(exposure_history, Treatment(reference=""never""))[T.persistent]",,,,,,,,,,skipped_small_n
exposure_history,KLoSA,next_healthy_aging_binary,social_participation,25304,7792,adopted,"C(exposure_history, Treatment(reference=""never""))[T.adopted]",10424.0,0.34088594609135736,0.05860013604357192,1.406192849924897,1.2536128712615207,1.5773436732426436,5.985841722772457e-09,clustered_by_person,False,ok
exposure_history,KLoSA,next_healthy_aging_binary,social_participation,25304,7792,stopped,"C(exposure_history, Treatment(reference=""never""))[T.stopped]",10424.0,0.333627355369964,0.06013545995148612,1.3960228262241932,1.2408068504569238,1.5706551995754325,2.8907065037803156e-08,clustered_by_person,False,ok
exposure_history,KLoSA,next_healthy_aging_binary,social_participation,25304,7792,persistent,"C(exposure_history, Treatment(reference=""never""))[T.persistent]",10424.0,0.5886642221340107,0.04232305239816454,1.801580296316219,1.6581641214730583,1.9574006710454395,5.598630633119173e-44,clustered_by_person,False,ok
exposure_history,MHAS,next_healthy_aging_binary,social_participation,9599,9599,adopted,"C(exposure_history, Treatment(reference=""never""))[T.adopted]",6087.0,0.19186602761426477,0.0729253741958552,1.211508197448427,1.0501492471280018,1.3976604911147772,0.008513620661061493,clustered_by_person,False,ok
exposure_history,MHAS,next_healthy_aging_binary,social_participation,9599,9599,stopped,"C(exposure_history, Treatment(reference=""never""))[T.stopped]",6087.0,0.07814842071481161,0.07497014709506022,1.0812831315763392,0.9335198356004013,1.2524353163632254,0.29722911385625705,clustered_by_person,False,ok
exposure_history,MHAS,next_healthy_aging_binary,social_participation,9599,9599,persistent,"C(exposure_history, Treatment(reference=""never""))[T.persistent]",6087.0,0.12256844479733292,0.06413263625819945,1.130396487184764,0.9968733758329497,1.2818039374077737,0.05598258886159209,clustered_by_person,False,ok
exposure_history,SHARE,next_healthy_aging_binary,social_participation,66063,41577,adopted,"C(exposure_history, Treatment(reference=""never""))[T.adopted]",35725.0,0.32110376500606413,0.03412681645615068,1.378648628955278,1.289449270021142,1.4740184715363822,5.0024469331332305e-21,clustered_by_person,False,ok
exposure_history,SHARE,next_healthy_aging_binary,social_participation,66063,41577,stopped,"C(exposure_history, Treatment(reference=""never""))[T.stopped]",35725.0,0.3269170538143075,0.033786784849382016,1.386686452057971,1.29783170863225,1.4816245461806565,3.817730589837267e-22,clustered_by_person,False,ok
exposure_history,SHARE,next_healthy_aging_binary,social_participation,66063,41577,persistent,"C(exposure_history, Treatment(reference=""never""))[T.persistent]",35725.0,0.565518603175863,0.025952667722559823,1.76036047457169,1.6730551303320205,1.8522216896817325,2.8623863496255063e-105,clustered_by_person,False,ok
