analysis,cohort,outcome,term,n,people,events,coef,se,odds_ratio,ci_low,ci_high,p_value,or_internet_only,or_social_only,or_both,reri,reri_se,reri_ci_low,reri_ci_high,reri_p_value,attributable_proportion,synergy_index,covariance,status
joint_interaction,CHARLS,next_healthy_aging_binary,internet_x_social_multiplicative,45545,20646,18910,-0.0037173230801090837,0.08911535889555462,0.9962895776119831,0.836621579085799,1.1864299789432864,0.9667270063936698,1.3522134645223922,1.0725910668425935,1.4449905894650885,0.020186058100102766,0.12096080308288246,-0.21689711594234684,0.2572692321425524,0.867463694223199,0.013969681357977085,1.0475184622801474,clustered_by_person,ok
joint_interaction,ELSA,next_healthy_aging_binary,internet_x_social_multiplicative,20080,8646,13923,-0.08914644225542388,0.10774568058421734,0.9147116113343989,0.7405752897764003,1.129793747456243,0.4080226539027587,1.4984238437799926,1.0750308346408224,1.4734648780021316,-0.09998980041868344,0.13342331397001994,-0.3614994957999225,0.16151989496255564,0.4536054528459847,-0.06786032155327613,0.825636089160461,clustered_by_person,ok
joint_interaction,HRS,next_healthy_aging_binary,internet_x_social_multiplicative,36903,19117,18608,-0.0168828137633333,0.05899731272435735,0.9832589022942447,0.8758875650323357,1.1037924358535576,0.7747537254368794,1.5165716517853167,1.0995724619986882,1.6396632981246884,0.023519184340683452,0.0754926365227677,-0.12444638324394125,0.17148475192530815,0.7553880413111889,0.014343910952683246,1.0381715637860145,clustered_by_person,ok
joint_interaction,SHARE,next_healthy_aging_binary,internet_x_social_multiplicative,91935,57670,51742,0.017744656162398773,0.03939650738318038,1.0179030279376289,0.9422614470183982,1.0996168606528613,0.6524134583367055,1.5017392533824372,1.3476126071867016,2.0599942316278206,0.21064237105868178,0.06027932441660827,0.09249489520212957,0.328789846915234,0.0004750606641366496,0.1022538645131209,1.248003661188819,clustered_by_person,ok
